epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
117,4134.32,0.70417,0.37559,0.92106,0.95226,0.95468,0.96739,0.80563,0.6677,0.39994,0.89106,0.000257372,0.000257372,0.000257372
118,4204.77,0.7062,0.39258,0.92248,0.94986,0.95809,0.96617,0.80618,0.66213,0.38619,0.89016,0.000255996,0.000255996,0.000255996
119,4229.32,0.69092,0.3762,0.92514,0.93905,0.96174,0.96426,0.79875,0.68938,0.39537,0.89734,0.00025462,0.00025462,0.00025462
120,4248.41,0.69952,0.37987,0.92174,0.95241,0.95717,0.96599,0.80298,0.68644,0.39526,0.89444,0.000253244,0.000253244,0.000253244
121,4267.39,0.68596,0.37205,0.91778,0.94024,0.96102,0.97049,0.814,0.65892,0.38812,0.88713,0.000251868,0.000251868,0.000251868
122,4286.77,0.68209,0.37888,0.91962,0.9319,0.96177,0.96759,0.80432,0.67236,0.38859,0.89378,0.000250492,0.000250492,0.000250492
123,4306.16,0.71726,0.38325,0.9345,0.95042,0.95317,0.96634,0.79437,0.69893,0.39478,0.90285,0.000249116,0.000249116,0.000249116
124,4325.88,0.71452,0.38809,0.93287,0.9257,0.96625,0.97021,0.80743,0.66064,0.3853,0.89068,0.00024774,0.00024774,0.00024774
125,4344.58,0.71296,0.38124,0.92796,0.94353,0.95253,0.96638,0.79638,0.69472,0.39944,0.90047,0.000246364,0.000246364,0.000246364
126,4370.24,0.71661,0.3767,0.93332,0.94783,0.95312,0.96594,0.7942,0.67869,0.39079,0.89296,0.000244987,0.000244987,0.000244987
127,4402.79,0.71264,0.37938,0.92306,0.94921,0.95875,0.96659,0.80012,0.70121,0.39893,0.90514,0.000243611,0.000243611,0.000243611
128,4421.14,0.69797,0.37154,0.9198,0.94609,0.95909,0.96012,0.79888,0.64863,0.38158,0.88327,0.000242235,0.000242235,0.000242235
129,4440.49,0.67605,0.36689,0.91552,0.9527,0.95449,0.9658,0.80491,0.67468,0.3857,0.89455,0.000240859,0.000240859,0.000240859
130,4459.32,0.69125,0.37338,0.91616,0.95049,0.96009,0.96272,0.79495,0.6853,0.38658,0.89487,0.000239483,0.000239483,0.000239483
131,4477.58,0.69569,0.37207,0.923,0.95055,0.95415,0.97121,0.8081,0.69102,0.38537,0.89778,0.000238107,0.000238107,0.000238107
132,4495.56,0.67703,0.37195,0.91792,0.94156,0.9614,0.96798,0.80423,0.68164,0.38443,0.89755,0.000236731,0.000236731,0.000236731
133,4538.09,0.67073,0.3659,0.91513,0.94328,0.95992,0.95959,0.79237,0.66895,0.3897,0.8888,0.000235355,0.000235355,0.000235355
134,4559.48,0.69019,0.37336,0.921,0.94726,0.95199,0.96448,0.80176,0.67314,0.39132,0.8923,0.000233979,0.000233979,0.000233979
135,4578.27,0.673,0.36877,0.91756,0.95277,0.9559,0.96672,0.79976,0.68136,0.38545,0.89245,0.000232603,0.000232603,0.000232603
136,4596.8,0.69119,0.3806,0.92427,0.94683,0.9566,0.96209,0.80389,0.66661,0.38554,0.89235,0.000231226,0.000231226,0.000231226
137,4615.17,0.68133,0.37091,0.9184,0.95496,0.95217,0.96283,0.80624,0.66246,0.39193,0.88619,0.00022985,0.00022985,0.00022985
138,4633.84,0.66814,0.36886,0.91197,0.94223,0.95561,0.96811,0.80546,0.66487,0.3791,0.89172,0.000228474,0.000228474,0.000228474
139,4652.81,0.68047,0.36462,0.91306,0.94782,0.9614,0.9683,0.8119,0.6632,0.38078,0.88774,0.000227098,0.000227098,0.000227098
140,4672.02,0.68223,0.3705,0.91649,0.95044,0.9561,0.96374,0.79894,0.67846,0.38591,0.89572,0.000225722,0.000225722,0.000225722
141,4690.05,0.68793,0.37421,0.91644,0.94885,0.95343,0.96937,0.79924,0.70548,0.39431,0.90332,0.000224346,0.000224346,0.000224346
